project_id,snapshot_id,state,district,project_type,project_cost,project_length_km,land_required_hectares,land_acquired_pct,land_pending_pct,private_land_pct,government_land_pct,forest_land_pct,affected_families,affected_landowners,vulnerable_households,compensation_awarded_amount,compensation_paid_amount,compensation_pending_amount,compensation_pending_pct,compensation_dispute_count,average_compensation_delay_days,legal_case_count,court_case_count,arbitration_case_count,ownership_dispute_count,notification_delay_days,approval_delay_days,survey_delay_days,document_completion_pct,interdepartmental_pending_count,rr_required,rr_completion_pct,families_relocated_pct,rr_grievances,possession_pct,row_available_pct,encumbrance_free_pct,public_objection_count,unresolved_grievances,stakeholder_response_rate,district_avg_resolution_days,agency_avg_delay_days,previous_project_delay_rate,days_since_notification,days_since_last_update,days_in_current_stage,acquisition_stage,actual_completion_delay_days,delayed_gt_90_days,delay_severity,most_likely_delay_stage,prediction_date,source_type,source_reference
P0001,P0001_S1,Madhya Pradesh,Madhya Pradesh_Dist_04,Water/Irrigation,410.82,12.63,21.66,5.0,95.0,43.19,50.91,5.9,524,552,81,130.02,4.96,125.06,96.19,4,65.4,2,0,2,89,21,51,22,11.22,1,1,0.0,0.0,22,0.0,0.0,0.0,29,12,59.15,212.9,59.5,0.27,30,10,68,Award Declaration,346,1,critical,Utility Shifting,2026-03-30,synthetic_calibrated,SIH2026_GEN_SEED_42
P0001,P0001_S2,Madhya Pradesh,Madhya Pradesh_Dist_04,Water/Irrigation,410.82,12.63,21.66,8.58,91.42,43.19,50.91,5.9,524,552,81,77.73,4.76,72.97,93.88,6,95.8,3,0,3,91,52,75,36,22.4,1,1,1.84,0.0,18,2.28,1.64,0.0,27,14,61.36,220.1,99.0,0.45,60,27,28,Award Declaration,335,1,critical,Legal Litigation,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0001,P0001_S3,Madhya Pradesh,Madhya Pradesh_Dist_04,Water/Irrigation,410.82,12.63,21.66,24.05,75.95,43.19,50.91,5.9,524,552,81,63.71,11.22,52.49,82.39,4,46.6,2,0,2,46,94,88,25,31.62,5,1,17.4,15.12,14,11.42,2.81,2.75,30,9,63.3,166.3,69.9,0.53,90,26,46,Award Declaration,281,1,critical,R&R Execution,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0001,P0001_S4,Madhya Pradesh,Madhya Pradesh_Dist_04,Water/Irrigation,410.82,12.63,21.66,43.49,56.51,43.19,50.91,5.9,524,552,81,82.31,30.4,51.91,63.07,2,25.2,3,1,2,103,23,67,35,62.53,4,1,30.45,29.55,22,37.32,35.45,35.12,32,6,53.97,182.7,63.4,0.43,120,11,96,RR Execution,305,1,critical,Legal Litigation,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0001,P0001_S5,Madhya Pradesh,Madhya Pradesh_Dist_04,Water/Irrigation,410.82,12.63,21.66,57.28,42.72,43.19,50.91,5.9,524,552,81,78.8,38.93,39.87,50.6,5,37.6,10,6,4,102,25,37,16,63.79,1,1,44.87,43.08,12,45.61,38.4,35.94,31,16,61.65,201.6,52.5,0.54,150,23,68,Possession Handover,348,1,critical,Legal Litigation,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0002,P0002_S1,Maharashtra,Maharashtra_Dist_05,Highway,124.23,36.12,111.52,11.65,88.35,82.27,17.73,0.0,3886,3633,908,26.85,2.71,24.14,89.91,1,21.3,0,0,0,237,17,24,46,21.72,1,1,3.52,0.0,94,6.35,3.4,0.82,23,12,67.06,198.7,51.2,0.39,30,11,71,Compensation Disbursement,183,1,critical,Compensation Disbursement,2026-03-30,synthetic_calibrated,SIH2026_GEN_SEED_42
P0002,P0002_S2,Maharashtra,Maharashtra_Dist_05,Highway,124.23,36.12,111.52,23.14,76.86,82.27,17.73,0.0,3886,3633,908,28.49,4.72,23.77,83.43,0,43.8,2,0,2,357,58,83,7,10.0,4,1,15.22,11.11,147,19.34,18.01,10.25,21,8,78.2,243.7,79.2,0.25,60,25,76,RR Execution,199,1,critical,Compensation Disbursement,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0002,P0002_S3,Maharashtra,Maharashtra_Dist_05,Highway,124.23,36.12,111.52,37.48,62.52,82.27,17.73,0.0,3886,3633,908,24.85,8.05,16.8,67.61,4,29.4,1,0,1,124,6,6,1,59.09,3,1,25.11,20.38,65,29.84,25.85,20.92,20,7,76.37,273.9,100.1,0.22,90,28,94,Compensation Disbursement,198,1,critical,Compensation Disbursement,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0002,P0002_S4,Maharashtra,Maharashtra_Dist_05,Highway,124.23,36.12,111.52,56.64,43.36,82.27,17.73,0.0,3886,3633,908,42.0,20.76,21.24,50.57,2,151.1,1,0,1,144,3,8,28,59.56,1,1,39.42,36.6,57,45.58,39.29,32.27,21,7,73.61,202.1,72.2,0.47,120,21,113,Award Declaration,174,1,severe,Legal Litigation,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
P0002,P0002_S5,Maharashtra,Maharashtra_Dist_05,Highway,124.23,36.12,111.52,77.34,22.66,82.27,17.73,0.0,3886,3633,908,39.96,25.61,14.35,35.91,1,83.7,2,0,2,338,6,20,74,76.42,4,1,67.41,60.68,155,65.05,57.15,56.42,18,8,80.95,174.1,69.4,0.21,150,14,72,Compensation Disbursement,114,1,severe,Compensation Disbursement,2026-04-01,synthetic_calibrated,SIH2026_GEN_SEED_42
